1,Kanakāngi,S R₁ G₁ M₁ P D₁ N₁ Ṡ,37,Sālagam,S R₁ G₁ M₂ P D₁ N₁ Ṡ
2,Ratnāngi,S R₁ G₁ M₁ P D₁ N₂ Ṡ,38,Jalārnavam,S R₁ G₁ M₂ P D₁ N₂ Ṡ
3,Gānamūrti,S R₁ G₁ M₁ P D₁ N₃ Ṡ,39,Jhālavarāḷi,S R₁ G₁ M₂ P D₁ N₃ Ṡ
4,Vanaspati,S R₁ G₁ M₁ P D₂ N₂ Ṡ,40,Navanītam,S R₁ G₁ M₂ P D₂ N₂ Ṡ
5,Mānavati,S R₁ G₁ M₁ P D₂ N₃ Ṡ,41,Pāvani,S R₁ G₁ M₂ P D₂ N₃ Ṡ
6,Tānarūpi,S R₁ G₁ M₁ P D₃ N₃ Ṡ,42,Raghupriyā,S R₁ G₁ M₂ P D₃ N₃ Ṡ
7,Senāvati,S R₁ G₂ M₁ P D₁ N₁ Ṡ,43,Gavāmbhodi,S R₁ G₂ M₂ P D₁ N₁ Ṡ
8,Hanumatodi,S R₁ G₂ M₁ P D₁ N₂ Ṡ,44,Bhavapriyā,S R₁ G₂ M₂ P D₁ N₂ Ṡ
9,Dhenukā,S R₁ G₂ M₁ P D₁ N₃ Ṡ,45,Śubhapantuvarāḷi,S R₁ G₂ M₂ P D₁ N₃ Ṡ
10,Nātakapriyā,S R₁ G₂ M₁ P D₂ N₂ Ṡ,46,Śadvidamārgini,S R₁ G₂ M₂ P D₂ N₂ Ṡ
11,Kokilapriyā,S R₁ G₂ M₁ P D₂ N₃ Ṡ,47,Suvarnāngi,S R₁ G₂ M₂ P D₂ N₃ Ṡ
12,Rūpavati,S R₁ G₂ M₁ P D₃ N₃ Ṡ,48,Divyamaṇi,S R₁ G₂ M₂ P D₃ N₃ Ṡ
13,Gāyakapriyā,S R₁ G₃ M₁ P D₁ N₁ Ṡ,49,Dhavaḻāmbari,S R₁ G₃ M₂ P D₁ N₁ Ṡ
14,Vakuḷābharaṇam,S R₁ G₃ M₁ P D₁ N₂ Ṡ,50,Nāmanārāyaṇi,S R₁ G₃ M₂ P D₁ N₂ Ṡ
15,Māyāmāḻavagowla,S R₁ G₃ M₁ P D₁ N₃ Ṡ,51,Kāmavardhini,S R₁ G₃ M₂ P D₁ N₃ Ṡ
16,Chakravākam,S R₁ G₃ M₁ P D₂ N₂ Ṡ,52,Rāmapriyā,S R₁ G₃ M₂ P D₂ N₂ Ṡ
17,Sūryakāntam,S R₁ G₃ M₁ P D₂ N₃ Ṡ,53,Gamanāśrama,S R₁ G₃ M₂ P D₂ N₃ Ṡ
18,Hātakāmbari,S R₁ G₃ M₁ P D₃ N₃ Ṡ,54,Viśvambari,S R₁ G₃ M₂ P D₃ N₃ Ṡ
19,Jhankāradhvani,S R₂ G₂ M₁ P D₁ N₁ Ṡ,55,Śāmaḻāngi,S R₂ G₂ M₂ P D₁ N₁ Ṡ
20,Naṭabhairavi,S R₂ G₂ M₁ P D₁ N₂ Ṡ,56,Śanmukhapriyā,S R₂ G₂ M₂ P D₁ N₂ Ṡ
21,Kīravāṇi,S R₂ G₂ M₁ P D₁ N₃ Ṡ,57,Simhendramadhyamam,S R₂ G₂ M₂ P D₁ N₃ Ṡ
22,Kharaharapriyā,S R₂ G₂ M₁ P D₂ N₂ Ṡ,58,Hemavati,S R₂ G₂ M₂ P D₂ N₂ Ṡ
23,Gourimanohari,S R₂ G₂ M₁ P D₂ N₃ Ṡ,59,Dharmavati,S R₂ G₂ M₂ P D₂ N₃ Ṡ
24,Varuṇapriyā,S R₂ G₂ M₁ P D₃ N₃ Ṡ,60,Nītimati,S R₂ G₂ M₂ P D₃ N₃ Ṡ
25,Māraranjani,S R₂ G₃ M₁ P D₁ N₁ Ṡ,61,Kāntāmaṇi,S R₂ G₃ M₂ P D₁ N₁ Ṡ
26,Chārukesi,S R₂ G₃ M₁ P D₁ N₂ Ṡ,62,Riśabhapriyā,S R₂ G₃ M₂ P D₁ N₂ Ṡ
27,Sarasāngi,S R₂ G₃ M₁ P D₁ N₃ Ṡ,63,Latāngi,S R₂ G₃ M₂ P D₁ N₃ Ṡ
28,Harikāmbhōji,S R₂ G₃ M₁ P D₂ N₂ Ṡ,64,Vāchaspati,S R₂ G₃ M₂ P D₂ N₂ Ṡ
29,Dhīraśankarābharaṇam,S R₂ G₃ M₁ P D₂ N₃ Ṡ,65,Mechakalyāni,S R₂ G₃ M₂ P D₂ N₃ Ṡ
30,Nāganandini,S R₂ G₃ M₁ P D₃ N₃ Ṡ,66,Chitrāmbari,S R₂ G₃ M₂ P D₃ N₃ Ṡ
